Education,Response
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,3
College Grad,4
College Grad,4
College Grad,4
College Grad,4
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,1
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,2
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,3
Some College,4
Some College,4
Some College,4
Some College,4
<= HS Grad,4
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
